sample_id	machine	archive_category	parameter_cell	validation_stratum	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
150	office	both	m2_s5	snr_boundary	4.055041405212968e-05	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	6712	1.748956473654550e+02	4.476113358666103e+02	4.409550902756004e+02	4.354594723345172e+03	9.994699497124897e-01	5.334302235020211e+00
151	office	both	m2_s5	snr_boundary	0.0007700321886848142	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	6682	1.879287750261538e+02	4.677738875698431e+02	4.706563548069017e+02	3.430357930904297e+03	9.992012945578501e-01	9.766258431481049e+00
152	office	both	m2_s5	snr_boundary	0.001326046361143986	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	9156	1.747051383584870e+02	4.542341216512644e+02	4.538467520808202e+02	4.358328818827245e+03	9.992746750802359e-01	6.377964973127516e+00
153	qiushi	both	m2_s5	snr_boundary	1.139611986819575e-11	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	5796	1.676830000000000e+02	3.872770000000000e+02	3.844150000000000e+02	3.086560000000000e+03	9.994990000000000e-01	6.755760000000000e+00
154	qiushi	both	m2_s5	snr_boundary	2.780842334190602e-16	typeI_mH125-220/random_20260825_011947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	6482	1.571400000000000e+02	3.348970000000000e+02	3.281620000000000e+02	1.677640000000000e+03	9.990740000000000e-01	1.405360000000000e+01
155	qiushi	both	m2_s5	snr_boundary	0.0001502255264946373	typeI_mH125-220/random_20260825_210947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	7517	1.790730000000000e+02	4.597130000000000e+02	4.648170000000000e+02	2.221180000000000e+03	9.997050000000000e-01	1.397240000000000e+01
156	yuanyuan	both	m2_s5	snr_boundary	4.684771117142531e-20	typeI_mH125-220/random_20260823_011757.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6460	1.678520000000000e+02	2.625450000000000e+02	2.852650000000000e+02	3.670500000000000e+03	9.995920000000000e-01	3.685420000000000e+00
157	yuanyuan	both	m2_s5	snr_boundary	1.100954352262776e-20	typeI_mH125-220/random_20260823_011757.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6790	1.963450000000000e+02	3.145560000000000e+02	3.332280000000000e+02	5.722440000000000e+03	9.991880000000000e-01	6.266450000000000e+00
158	yuanyuan	both	m2_s5	snr_boundary	5.70657650808261e-05	typeI_mH125-220/random_20260824_002709.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	11531	2.198180000000000e+02	4.796500000000000e+02	4.834590000000000e+02	6.253990000000000e+03	9.996610000000000e-01	7.127990000000000e+00
159	office	both	m3_s3	snr_boundary	0.06520010937352695	typeI_mH220-500/random_20260825_014923.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	137	2.209585354984833e+02	5.749313664226008e+02	2.087235032193816e+02	4.370513976186792e+03	9.877937088865621e-01	1.102956321894124e+01
160	office	both	m3_s3	snr_boundary	8.630770549431948e-08	typeI_mH220-500/random_20260902_020759.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_10.csv	3926	2.523255774801846e+02	5.470473037088367e+02	2.405153454838022e+02	1.360863188204022e+04	9.898792292356039e-01	4.518280842189496e+00
161	office	both	m3_s3	snr_boundary	8.81480037802397e-15	typeI_mH220-500/random_20260902_020759.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_10.csv	4002	2.240833720605147e+02	4.234176227951966e+02	2.181302336501674e+02	4.976163703629075e+03	9.876317341968123e-01	9.909670291311500e+00
162	qiushi	both	m3_s3	snr_boundary	0.00239594970541175	typeI_mH220-500/random_20260826_184030.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	8719	2.249800000000000e+02	5.829380000000000e+02	2.239310000000000e+02	7.856470000000000e+03	9.895190000000000e-01	6.202360000000000e+00
163	qiushi	both	m3_s3	snr_boundary	5.767158044681942e-12	typeI_mH220-500/random_20260902_194953.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_2.csv	3300	2.504900000000000e+02	4.920450000000000e+02	2.528100000000000e+02	1.120340000000000e+04	9.881810000000000e-01	5.580840000000000e+00
164	qiushi	both	m3_s3	snr_boundary	1.238883853887148e-10	typeI_mH220-500/random_20260902_194953.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_2.csv	3473	2.875600000000000e+02	5.356890000000000e+02	2.744960000000000e+02	1.315170000000000e+04	9.892460000000000e-01	5.920500000000000e+00
165	yuanyuan	both	m3_s3	snr_boundary	1.4608432616507e-18	typeI_mH220-500/random_20260826_184019.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	1110	2.571900000000000e+02	4.561610000000000e+02	2.464960000000000e+02	1.028610000000000e+04	9.886050000000000e-01	5.999520000000000e+00
166	yuanyuan	both	m3_s3	snr_boundary	4.436966459692984e-19	typeI_mH220-500/random_20260830_180625.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	11483	3.815990000000000e+02	3.238630000000000e+02	2.833600000000000e+02	1.210260000000000e+04	9.888200000000000e-01	1.181550000000000e+01
167	yuanyuan	both	m3_s3	snr_boundary	4.873884737952274e-09	typeI_mH220-500/random_20260830_180625.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	11956	3.495690000000000e+02	4.492740000000000e+02	3.174480000000000e+02	1.429050000000000e+04	9.867850000000000e-01	8.174880000000000e+00
168	office	both	m3_s4	snr_boundary	2.189076234342646e-11	typeI_mH220-500/random_20260830_123811.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_11.csv	8570	2.380580717235830e+02	4.427285187442345e+02	4.420061454933269e+02	7.497782019831083e+03	9.970041028297867e-01	6.645249926783684e+00
169	office	both	m3_s4	snr_boundary	2.997549913742651e-16	typeI_mH220-500/random_20260831_005128.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_11.csv	11916	2.597421947702509e+02	4.012982696355643e+02	4.032140406166154e+02	1.241301757194064e+04	9.975153350814797e-01	4.405199680814350e+00
170	office	both	m3_s4	snr_boundary	8.984342852062912e-08	typeI_mH220-500/random_20260902_020759.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_10.csv	4463	2.652329593121335e+02	5.565153805509012e+02	2.589983469053258e+02	1.189303235254391e+04	9.920221168254068e-01	5.346448635954116e+00
171	qiushi	both	m3_s4	snr_boundary	5.386137399675575e-07	typeI_mH220-500/random_20260826_184030.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	9176	2.415320000000000e+02	5.442540000000000e+02	2.338140000000000e+02	1.174360000000000e+04	9.974229999999999e-01	3.611190000000000e+00
172	qiushi	both	m3_s4	snr_boundary	8.962958563729011e-16	typeI_mH220-500/random_20260826_184030.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	9810	3.335740000000000e+02	4.465550000000000e+02	4.388640000000000e+02	8.223940000000001e+03	9.976910000000000e-01	1.338630000000000e+01
173	qiushi	both	m3_s4	snr_boundary	6.05099727140095e-19	typeI_mH220-500/random_20260828_001210.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	10397	2.597280000000000e+02	4.583340000000000e+02	2.681940000000000e+02	1.450330000000000e+04	9.981160000000000e-01	4.010740000000000e+00
