yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	4.125147923063889e+00	2.527389138691958e-01	3.469375698951549e+00	-1.235788878014849e+00	-1.575499256757661e+00	4.775830000000000e+03	9.273730000000000e+00
1	2.318844822134349e+00	2.477267453153499e-01	3.961255719301307e-01	2.334574346342417e+00	-2.344734946704050e+00	7.891100000000000e+03	4.872040000000000e+00
1	1.000363752724418e+00	2.378890120434749e-01	1.069892455964959e+00	-6.189653182045513e-02	4.033622262465002e-02	1.217110000000000e+04	7.278700000000000e+00
1	1.064733986146397e+00	2.416647570716293e-01	2.288450532707519e-01	6.070204039292417e-01	-1.804939314921694e-02	9.241719999999999e+03	6.565880000000000e+00
1	4.948664153943176e+00	2.461555890651528e-01	4.488118583984097e-01	3.465182794669669e-01	-2.545796805105596e-01	8.041920000000000e+03	6.142420000000000e+00
1	3.720617423247057e+00	2.491844688519740e-01	8.359802244183820e-01	1.878828913935305e+00	-2.098253280790057e+00	5.867630000000000e+03	6.621160000000000e+00
1	1.168669693256994e+00	2.515436230289519e-01	6.068007230521332e+00	-2.918131116314976e+00	-2.704245040566413e+00	6.182560000000000e+03	6.743430000000000e+00
1	1.958919703164618e+00	2.510673013376066e-01	1.945130917159277e+00	-6.803449033255532e-01	-5.632527470693570e-01	5.352570000000000e+03	8.102320000000001e+00
1	1.371589934915599e+00	2.553517046481648e-01	1.120625794814179e+00	-3.482063699978685e-01	-2.281153384690166e-01	3.256250000000000e+03	1.015630000000000e+01
1	4.923368104069735e+00	2.557227928630070e-01	1.804142251433072e+00	-6.606177961062105e-01	-5.929647491103738e-01	3.082400000000000e+03	9.729690000000000e+00
1	4.274728266617780e+00	2.526571537527217e-01	1.561807510879280e+00	-1.035626625215534e+00	-2.611180024380863e-01	7.157780000000000e+03	4.739600000000000e+00
1	5.008920320109715e+00	2.520937929365852e-01	4.998328128058969e-01	1.966441987338201e+00	-2.200823427295945e+00	6.983650000000000e+03	4.706090000000000e+00
1	2.245805371279608e+00	2.579070475996553e-01	2.461979604201257e+00	-1.046328257559897e+00	-1.122558168301551e+00	1.480596288695850e+03	1.237605233572231e+01
1	4.694044248613854e+00	2.581603105395318e-01	2.930182373218132e+00	-1.444908888797080e+00	-1.232874049704825e+00	1.519173664108886e+03	1.050104486024376e+01
1	2.642679896276077e+00	2.591411551086761e-01	9.787380117081028e-01	-3.905853051934621e-01	-4.083179479325724e-01	7.380910000000000e+03	3.881830000000000e+00
1	2.598990146566127e+00	2.586035264280900e-01	1.036853448608843e+00	-4.824207290699623e-01	-3.446012394804320e-01	4.261430000000000e+03	4.785290000000000e+00
1	1.915371151163432e+00	2.535519559795438e-01	9.512756242921045e-01	-2.642997539042365e-01	-1.503735480743734e-01	4.130420000000000e+03	7.838810000000000e+00
1	3.597796171157099e+00	2.504872171927037e-01	3.194181799693644e+00	-1.572440843386678e+00	-1.339693235800814e+00	3.877062462805914e+02	5.860668380777163e+00
1	4.969535585805801e+00	2.581712373999918e-01	2.017025193021523e+00	-9.881512416537671e-01	-8.230590349583753e-01	1.185502842805143e+03	7.732898719213428e+00
1	2.058316366415907e+00	2.527184099597897e-01	2.796194172787094e+00	-1.292002157965496e+00	-1.207140843405692e+00	1.006879457685671e+03	6.047987090579792e+00
1	1.427454774374621e+00	2.567895285511488e-01	8.850072866289784e-01	-1.717811311071670e-03	-5.442141006053398e-01	8.161046783897464e+02	1.490002715644189e+01
1	2.111880364384904e-02	2.581688383648076e-01	5.117525087771611e-01	3.641154501383634e-01	-6.152719019418245e-01	1.475979520582327e+03	1.057017883342730e+01
1	4.140839886623733e+00	2.581188553353317e-01	2.374224826464925e+00	-1.065638539091943e+00	-1.081491441308897e+00	1.178970203059184e+03	8.498653124770586e+00
1	3.498489716686998e+00	2.576605772675884e-01	1.198544557008067e+00	-3.433522154372561e-01	-6.474428727872852e-01	1.017943735742100e+03	5.927825045660233e+00
1	2.533472882589388e+00	2.470903414040952e-01	3.182333784495772e+00	-1.394214086718820e+00	-1.421397106581335e+00	2.422060000000000e+02	6.255110000000000e+00
1	3.819346891308577e+00	2.559834375719213e-01	1.323009357118693e+00	-4.304291556634087e-01	-6.167726265217637e-01	6.159801359160294e+02	7.912617453256711e+00
1	6.615126598831954e-03	2.571544770289387e-01	2.202483042346312e-01	1.567466898065488e+00	-1.510978475859578e+00	2.197933519571689e+03	6.829449824002052e+00
1	3.274419244929091e+00	2.473166875988324e-01	5.821605216530298e+00	-2.646466041578141e+00	-2.856837364110752e+00	6.211094965214281e+01	5.725825420478090e+00
