sample_id	machine	category	branch	validation_stratum	edge_score	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
143	office	both	light	physical_boundary	0.12863318883626487	8.235143151691298e-25	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	10611	7.162584737074098e+01	4.162341335007673e+02	4.085161421705914e+02	6.211094965214281e+01	1.546881704039398e-01	5.725825420478090e+00
144	office	both	light	physical_boundary	1.0	1.167667645870462e-22	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	12123	1.229462858195677e+02	2.954636624266753e+02	9.684904870935620e+01	2.069973823645106e+03	1.502654333402795e-01	5.161363809758157e+00
145	qiushi	both	light	physical_boundary	0.03351666666666612	1.414636322649723e-17	typeI_mH62-125/random_20260831_184047.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_2.csv	30	1.017430000000000e+02	2.566340000000000e+02	2.586450000000000e+02	8.542200000000000e+02	1.094340000000000e-01	8.736370000000001e+00
146	qiushi	both	light	physical_boundary	0.11734999999999994	1.462843852608338e-17	typeI_mH62-125/random_20260815_194920.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	242	7.160060000000000e+01	3.064470000000000e+02	3.134880000000000e+02	3.179600000000000e+02	1.677650000000000e-01	7.318060000000000e+00
147	qiushi	both	light	physical_boundary	0.628133333333333	5.539115365161274e-27	typeI_mH62-125/random_20260821_011644.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	350	1.147780000000000e+02	2.728320000000000e+02	2.540800000000000e+02	1.017030000000000e+03	6.697250000000000e-02	9.566970000000000e+00
148	qiushi	both	light	physical_boundary	0.23176666666666676	3.55731062354186e-09	typeI_mH62-125/random_20260815_194920.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	609	7.347839999999999e+01	2.919990000000000e+02	2.780930000000000e+02	3.540150000000000e+02	1.225040000000000e-01	5.407920000000000e+00
149	qiushi	both	light	physical_boundary	0.413366666666667	2.805303747178752e-21	typeI_mH62-125/random_20260901_134416.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_2.csv	1687	1.052410000000000e+02	2.290790000000000e+02	2.042770000000000e+02	1.102390000000000e+03	1.819560000000000e-01	4.124190000000000e+00
150	qiushi	both	light	physical_boundary	0.2556666666666672	2.417979311722023e-08	typeI_mH62-125/random_20260816_190708.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	4379	6.981710000000000e+01	3.028840000000000e+02	2.875440000000000e+02	5.003310000000000e+02	1.258720000000000e-01	5.961060000000000e+00
151	qiushi	both	light	physical_boundary	0.36627301587301575	2.315733887094769e-08	typeI_mH62-125/random_20260816_190708.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	4594	6.699060000000000e+01	3.024140000000000e+02	2.893060000000000e+02	3.714780000000000e+02	1.191450000000000e-01	6.289070000000000e+00
152	qiushi	both	light	physical_boundary	0.03068333333333347	3.918860587209409e-08	typeI_mH62-125/random_20260816_190708.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	5820	7.076320000000000e+01	3.094190000000000e+02	3.075780000000000e+02	4.341020000000000e+02	1.619250000000000e-01	6.907630000000000e+00
153	qiushi	both	light	physical_boundary	0.09551666666666657	1.550542804104761e-08	typeI_mH62-125/random_20260817_182439.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	7400	7.227140000000000e+01	2.800750000000000e+02	2.858060000000000e+02	5.576330000000000e+02	1.410380000000000e-01	5.624010000000000e+00
154	qiushi	both	light	physical_boundary	0.1426158730158722	1.511644021047198e-09	typeI_mH62-125/random_20260817_182439.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	8561	6.875190000000001e+01	2.771660000000000e+02	2.822530000000000e+02	4.417000000000000e+02	1.660530000000000e-01	5.848720000000000e+00
155	qiushi	both	light	physical_boundary	0.09131666666666642	3.919155264591527e-16	typeI_mH62-125/random_20260818_235435.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both.csv	10100	1.172190000000000e+02	3.081570000000000e+02	3.026780000000000e+02	9.834120000000000e+02	1.325950000000000e-01	1.245840000000000e+01
